contract	hax_revision	production_source	production_symbol	extracted_source	extracted_symbol	refinement_source	refinement_symbol	easycrypt_contract	status
ctx-transcript	4fad0ae6268bc0817cafcf4f0300e50a481e4d49	beaconcrypt-core/src/commitment.rs	build_commitment_transcript	beaconcrypt-core/proofs/fstar/extraction/Beaconcrypt_core.Commitment.fst	build_commitment_transcript	beaconcrypt-core/proofs/fstar/Beaconcrypt_core.Commitment.Lemmas.fst	production_commitment_input_is_injective;ctx_distinct_openings_imply_hash_collision	assumption_ctx_encoding_is_injective	pending-reviewed-cross-prover-bridge
ratchet-send	4fad0ae6268bc0817cafcf4f0300e50a481e4d49	beaconcrypt-core/src/ratchet/control.rs	advance_send	beaconcrypt-core/proofs/lean/BeaconcryptCore/Extraction/Funs.lean	ratchet.control.advance_send	beaconcrypt-core/proofs/lean/BeaconcryptCore/Refinement/RatchetRefinement.lean	advance_send_refines	stateful_protocol_send_existing_session	pending-reviewed-cross-prover-bridge
